,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Score,Country
78.1961,United Kingdom,GBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,26.1,78
80.1961,Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,208.6,80
81.1961,Guinea,GIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,351.3,81
82.1961,"Gambia, The",GMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,356.3,82
85.1961,Greece,GRC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,54.4,85
88.1961,Guatemala,GTM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,214.1,88
90.1961,Guyana,GUY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,89.2,90
91.1961,High income,HIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,43.4,91
93.1961,Honduras,HND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,203.4,93
96.1961,Haiti,HTI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,286.6,96
97.1961,Hungary,HUN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,56.1,97
98.1961,Indonesia,IDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,216.5,98
100.1961,India,IND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,243.7,100
102.1961,Ireland,IRL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,33.9,102
104.1961,Iraq,IRQ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,184.5,104
105.1961,Iceland,ISL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,21.1,105
107.1961,Italy,ITA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,49.8,107
108.1961,Jamaica,JAM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,80.8,108
109.1961,Jordan,JOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,147.3,109
110.1961,Japan,JPN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,36.2,110
112.1961,Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,190.6,112
117.1961,"Korea, Rep.",KOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,106.5,117
119.1961,Kuwait,KWT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,136.6,119
120.1961,Latin America & Caribbean (developing only),LAC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,172.2,120
122.1961,Lebanon,LBN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,75.1,122
123.1961,Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,316.4,123
124.1961,Libya,LBY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,263.4,124
126.1961,Latin America & Caribbean (all income levels),LCN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,164.3234953,126
130.1961,Sri Lanka,LKA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,96.6,130
131.1961,Lower middle income,LMC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,236.2,131
132.1961,Low & middle income,LMY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,228.1,132
133.1961,Lesotho,LSO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,190.4,133
139.1961,Morocco,MAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,234.5,139
146.1961,Marshall Islands,MHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,123.7,146
147.1961,Middle income,MIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,219.8,147
150.1961,Malta,MLT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,39.1,150
152.1961,Middle East & North Africa (developing only),MNA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,252.3,152
157.1961,Mauritania,MRT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,249,157
158.1961,Mauritius,MUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,98.6,158
160.1961,Malaysia,MYS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,87.7,160
161.1961,North America,NAC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,29.70459768,161
166.1961,Nicaragua,NIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,197,166
167.1961,Netherlands,NLD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,20.3,167
169.1961,Norway,NOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,22.1,169
170.1961,Nepal,NPL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,323,170
171.1961,New Zealand,NZL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,26.8,171
172.1961,High income: OECD,OEC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,43.9128992,172
173.1961,OECD members,OED,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,60.91569397,173
176.1961,Pakistan,PAK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,251.6,176
177.1961,Panama,PAN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,89.5,177
178.1961,Peru,PER,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,220.7,178
179.1961,Philippines,PHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,102.4,179
181.1961,Papua New Guinea,PNG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,194,181
182.1961,Poland,POL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,59.4,182
185.1961,Portugal,PRT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,110.3,185
186.1961,Paraguay,PRY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,84.3,186
187.1961,Pacific island small states,PSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,100.8283082,187
192.1961,Rwanda,RWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,211.3,192
193.1961,South Asia,SAS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,247.1,193
195.1961,Sudan,SDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,175.2,195
196.1961,Senegal,SEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,302.5,196
197.1961,Singapore,SGP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,43.8,197
198.1961,Solomon Islands,SLB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,185.6,198
199.1961,Sierra Leone,SLE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,390.3,199
200.1961,El Salvador,SLV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,183.3,200
212.1961,Sweden,SWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,19.2,212
213.1961,Swaziland,SWZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,209,213
215.1961,Seychelles,SYC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,100.5,215
216.1961,Syrian Arab Republic,SYR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,170.4,216
219.1961,Togo,TGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,269.2,219
220.1961,Thailand,THA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,142.7,220
225.1961,Trinidad and Tobago,TTO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,66,225
227.1961,Turkey,TUR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,242.3,227
230.1961,Tanzania,TZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,242,230
231.1961,Uganda,UGA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,219.1,231
234.1961,Uruguay,URY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,62.6,234
235.1961,United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,29.5,235
238.1961,"Venezuela, RB",VEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,78.3,238
241.1961,Vanuatu,VUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,151,241
243.1961,World,WLD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,180.4,243
248.1961,Zambia,ZMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,203,248
249.1961,Zimbabwe,ZWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,146.1,249
3.1962,Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,350.6,3
6.1962,Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,236.4965356,6
7.1962,United Arab Emirates,ARE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,183.3,7
12.1962,Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,23.7,12
13.1962,Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,37.9,13
16.1962,Belgium,BEL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,31.1,16
17.1962,Benin,BEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,303.9,17
18.1962,Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,338.7,18
19.1962,Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,251.3,19
21.1962,Bahrain,BHR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,167.2,21
27.1962,Bolivia,BOL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,276.1,27
28.1962,Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,162.7,28
29.1962,Barbados,BRB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,73.2,29
32.1962,Botswana,BWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,158.9,32
33.1962,Central African Republic,CAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,272.6,33
34.1962,Canada,CAN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,30.5,34
36.1962,Switzerland,CHE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,25.4,36
38.1962,Chile,CHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,142.3,38
40.1962,Cote d'Ivoire,CIV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,295.7,40
41.1962,Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,271.1,41
42.1962,"Congo, Rep.",COG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,176,42
43.1962,Colombia,COL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,122,43
47.1962,Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,75.38031544,47
55.1962,Dominica,DMA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,116.5,55
56.1962,Denmark,DNK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,23.8,56
57.1962,Dominican Republic,DOM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,143.7,57
58.1962,Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,246.2,58
63.1962,Ecuador,ECU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,169.2,63
64.1962,"Egypt, Arab Rep.",EGY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,293.1,64
65.1962,Euro area,EMU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,42.09964844,65
67.1962,Spain,ESP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,48.2,67
70.1962,European Union,EUU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,40.28057178,70
72.1962,Finland,FIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,23.8,72
73.1962,Fiji,FJI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,66,73
74.1962,France,FRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,25.7,74
78.1962,United Kingdom,GBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,25.6,78
80.1962,Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,206.7,80
81.1962,Guinea,GIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,349,81
82.1962,"Gambia, The",GMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,350.3,82
85.1962,Greece,GRC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,52.8,85
88.1962,Guatemala,GTM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,209.9,88
90.1962,Guyana,GUY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,85.7,90
91.1962,High income,HIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,41.6,91
93.1962,Honduras,HND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,196.8,93
96.1962,Haiti,HTI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,281.9,96
97.1962,Hungary,HUN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,54.4,97
98.1962,Indonesia,IDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,210.7,98
100.1962,India,IND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,240,100
102.1962,Ireland,IRL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,32.5,102
104.1962,Iraq,IRQ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,174.2,104
105.1962,Iceland,ISL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,20.7,105
107.1962,Italy,ITA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,47.6,107
108.1962,Jamaica,JAM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,77.5,108
109.1962,Jordan,JOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,138.8,109
110.1962,Japan,JPN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,32.8,110
112.1962,Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,183.1,112
117.1962,"Korea, Rep.",KOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,100.8,117
119.1962,Kuwait,KWT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,126.9,119
120.1962,Latin America & Caribbean (developing only),LAC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,167.8,120
122.1962,Lebanon,LBN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,72.9,122
123.1962,Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,315.4,123
124.1962,Libya,LBY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,246.7,124
126.1962,Latin America & Caribbean (all income levels),LCN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,160.0168425,126
130.1962,Sri Lanka,LKA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,92.3,130
131.1962,Lower middle income,LMC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,231.2,131
132.1962,Low & middle income,LMY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,223.3,132
133.1962,Lesotho,LSO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,189.7,133
139.1962,Morocco,MAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,229.6,139
144.1962,Middle East & North Africa (all income levels),MEA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,242.8286295,144
146.1962,Marshall Islands,MHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,118.6,146
147.1962,Middle income,MIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,215.1,147
150.1962,Malta,MLT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,37.7,150
152.1962,Middle East & North Africa (developing only),MNA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,245.7,152
157.1962,Mauritania,MRT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,242,157
158.1962,Mauritius,MUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,93.4,158
160.1962,Malaysia,MYS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,82.9,160
161.1962,North America,NAC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,29.05619926,161
166.1962,Nicaragua,NIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,194.8,166
167.1962,Netherlands,NLD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,19.7,167
169.1962,Norway,NOR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,21.5,169
170.1962,Nepal,NPL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,318.1,170
171.1962,New Zealand,NZL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,25.8,171
172.1962,High income: OECD,OEC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,41.8319799,172
173.1962,OECD members,OED,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,58.56614535,173
176.1962,Pakistan,PAK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,241.9,176
177.1962,Panama,PAN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,86.8,177
178.1962,Peru,PER,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,213.8,178
179.1962,Philippines,PHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,99.5,179
181.1962,Papua New Guinea,PNG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,188,181
182.1962,Poland,POL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,55.6,182
185.1962,Portugal,PRT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,104.3,185
186.1962,Paraguay,PRY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,83.4,186
187.1962,Pacific island small states,PSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,97.1715155,187
192.1962,Rwanda,RWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,207.9,192
193.1962,South Asia,SAS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,242.5,193
195.1962,Sudan,SDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,172.2,195
196.1962,Senegal,SEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,302.4,196
197.1962,Singapore,SGP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,40.5,197
198.1962,Solomon Islands,SLB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,175.9,198
199.1962,Sierra Leone,SLE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,384.7,199
200.1962,El Salvador,SLV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,179.6,200
212.1962,Sweden,SWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,18.6,212
213.1962,Swaziland,SWZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,205.8,213
215.1962,Seychelles,SYC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,98.4,215
216.1962,Syrian Arab Republic,SYR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,161.6,216
219.1962,Togo,TGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,264.3,219
220.1962,Thailand,THA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,137.7,220
225.1962,Trinidad and Tobago,TTO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,63.7,225
226.1962,Tunisia,TUN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,267.8,226
227.1962,Turkey,TUR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,235.5,227
230.1962,Tanzania,TZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,240,230
231.1962,Uganda,UGA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,214.9,231
234.1962,Uruguay,URY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,61,234
235.1962,United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,28.9,235
238.1962,"Venezuela, RB",VEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,75.9,238
241.1962,Vanuatu,VUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,147,241
243.1962,World,WLD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,177.1,243
248.1962,Zambia,ZMB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,199,248
249.1962,Zimbabwe,ZWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1962,141.6,249
3.1963,Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1963,345,3
6.1963,Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1963,241.3065209,6
7.1963,United Arab Emirates,ARE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1963,172.7,7
12.1963,Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1963,23.2,12
